WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL
WAL,tp/13/10,G,G,G,G,T,WAL,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,WFE/down,WAL
WAL,G,G,G,G,G,G,WAL,G,G,G,G,G,G,G,WAL,WAL,G,G,G,G,G,G,G,G,WAL
WAL,SLE/right,G,G,G,G,G,WAL,SLE/right,G,G,G,G,G,G,WAL,K/blue,WAL,G,G,G,G,G,G,G,WAL
WAL,G,G,G,G,G,G,td/3,G,G,G,G,G,G,WAL,WAL,G,G,WAL,G,G,G,G,G,G,WAL
WAL,F,F,F,F,F,F,WAL,G,G,G,G,G,WAL,F,F,F,F,F,WAL,WAT,WAT,WAT,WAT,WAT,WAL
WAL,G,G,G,G,G,G,WAL,G,G,G,G,WAL,G,G,G,SLE/right,G,G,G,WAL,WAT,WAT,WAT,WAT,WAL
WAL,G,G,G,G,G,G,fl,WAL,WAL,WAL,G,WAL,G,G,G,G,G,G,G,,G,WAL,WAT,WAT,tp/13/23,WAL
WAL,G,G,G,G,G,G,WAL,T,WAL,WAL,WAL,WAL,G,G,G,G,G,G,G,G,G,WAL,WAL,WAL,WAL
WAL,G,G,G,G,G,WAL,G,G,G,WAL,WAL,WAL,G,G,G,WAL,WAL,G,G,G,G,G,G,G,WAL
WAL,G,WAL,WAL,WAT,WAL,SLE/right,G,G,G,G,WAL,SLE/right,G,G,G,G,G,G,G,G,G,WAL,WAL,WAL,WAL
WAL,G,T,WAL,G,G,G,G,G,G,WAL,G,G,G,G,G,G,G,G,G,G,G,G,G,WAL
WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,G,G,G,WAL,WAL,G,G,G,G,WAL,WAL,WAL,WAL
WAL,K/red,SLE/down,G,SLE/down,F,G,G,WAL,G,G,tp/1/2,WAL,G,G,G,WAL,WAL,G,G,G,G,F,G,tp/7/22,WAL
WAL,G,G,G,G,F,G,G,WAL,CD/red,WAL,WAL,WAL,SLE/right,G,G,G,G,G,G,G,G,WAL,WAL,WAL,WAL
WAL,G,G,G,G,F,G,G,G,G,G,G,WAL,G,G,G,G,G,G,G,G,SLE/left,WAL,G,K/green,WAL
WAL,G,G,G,G,F,G,G,fb,G,G,G,WAL,G,G,G,WAL,WAL,G,G,G,G,CD/blue,G,G,WAL
WAL,G,G,G,G,F,G,G,G,G,G,G,WAL,SLE/right,G,G,G,G,G,G,G,G,WAL,WAL,WAL,WAL
WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,SLE/right,G,G,G,WAL,G,G,G,G,G,G,G,G,G,CD/green,G,G,WAL
WAL,P,G,G,G,G,G,G,G,G,G,G,WAL,G,G,G,WAL,WAL,G,G,G,G,WAL,G,goal,WAL
WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL
