WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL
WAL,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,WAL
WAL,G,G,G,G,G,G,WAL,G,G,G,WAL,WAL,WAL,WAL,G,G,DTE,G,G,G,WAL
WAL,G,G,G,G,WAL,WAL,WAL,G,G,G,SLE/down,G,G,G,WAL,G,G,G,G,G,WAL
WAL,G,G,G,WAL,G,G,G,G,G,G,G,G,G,G,G,WAL,G,G,WAL,G,WAL
WAL,G,G,WAL,G,G,G,G,G,G,G,G,G,G,G,G,G,WAL,WAL,T,WAL,WAL
WAL,G,G,WAL,T,G,WAL,WAL,G,G,G,G,G,G,G,G,G,SLE/down,F,G,G,WAL
WAL,G,G,WAL,WAL,WAL,G,G,WAL,WAL,WAL,WAL,WAL,G,G,G,G,G,F,G,G,WAL
WAL,G,G,G,G,G,G,G,G,WAL,G,P,WAL,G,G,G,G,G,F,G,G,WAL
WAL,G,G,G,G,G,G,G,WFE/up,WAL,G,G,WAL,G,G,G,G,G,F,WAL,WAL,WAL
WAL,WAT,WAT,WAT,WAT,WAT,WAT,WAT,WAT,WAL,G,G,WAL,G,G,G,G,G,F,WAL,tp/14/4,WAL
WAL,WAT,WAT,WAT,WAT,WAT,WAT,WAT,WAT,WAL,G,G,WAL,G,G,G,G,G,F,WAL,G,WAL
WAL,WAT,WAT,WAT,WAT,WAT,WAT,WAT,WAL,G,G,G,G,WAL,fb,WAL,td/2,WAL,F,WAL,G,WAL
WAL,G,G,G,G,G,G,WAL,SLE/right,G,G,G,G,G,WAL,G,G,G,WAL,WAL,CD/red,WAL
WAL,G,G,G,G,tp/11/20,WAL,G,G,G,G,K/blue,G,G,G,WAL,K/green,WAL,SLE/down,G,G,WAL
WAL,CD/green,WAL,WAL,WAL,WAL,SLE/right,G,G,G,G,G,G,G,G,fl,WAL,G,G,G,G,WAL
WAL,G,G,G,WAL,WAL,WAL,G,G,G,G,G,G,G,G,G,WAT,G,G,G,G,WAL
WAL,goal,G,WAL,K/red,G,CD/blue,G,G,G,G,G,G,G,G,G,WAT,G,G,G,G,WAL
WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL
